[2024-03-04 01:21:20,088] : Round: 207, Max accuracy: 0.00%, Current accuracy: 63.26%
[2024-03-04 01:21:40,160] : Round: 208, Max accuracy: 0.00%, Current accuracy: 59.49%
[2024-03-04 01:21:42,911] : Round: 209, Max accuracy: 0.00%, Current accuracy: 60.71%
[2024-03-04 01:22:00,335] : Round: 210, Max accuracy: 0.00%, Current accuracy: 60.26%
[2024-03-04 01:22:05,510] : Round: 211, Max accuracy: 0.00%, Current accuracy: 60.07%
[2024-03-04 01:22:07,416] : Round: 212, Max accuracy: 0.00%, Current accuracy: 61.81%
[2024-03-04 01:22:21,944] : Round: 213, Max accuracy: 0.00%, Current accuracy: 64.47%
[2024-03-04 01:22:28,131] : Round: 214, Max accuracy: 0.00%, Current accuracy: 60.07%
[2024-03-04 01:22:34,373] : Round: 215, Max accuracy: 0.00%, Current accuracy: 61.52%
[2024-03-04 01:22:52,582] : Round: 216, Max accuracy: 0.00%, Current accuracy: 62.41%
[2024-03-04 01:22:54,634] : Round: 217, Max accuracy: 0.00%, Current accuracy: 65.10%
[2024-03-04 01:22:57,375] : Round: 218, Max accuracy: 0.00%, Current accuracy: 63.36%
[2024-03-04 01:23:12,738] : Round: 219, Max accuracy: 0.00%, Current accuracy: 65.98%
[2024-03-04 01:23:20,952] : Round: 220, Max accuracy: 0.00%, Current accuracy: 67.52%
[2024-03-04 01:23:26,319] : Round: 221, Max accuracy: 0.00%, Current accuracy: 67.03%
[2024-03-04 01:23:34,430] : Round: 222, Max accuracy: 0.00%, Current accuracy: 64.86%
[2024-03-04 01:23:46,826] : Round: 223, Max accuracy: 0.00%, Current accuracy: 68.76%
[2024-03-04 01:23:54,735] : Round: 224, Max accuracy: 0.00%, Current accuracy: 69.65%
[2024-03-04 01:24:11,204] : Round: 225, Max accuracy: 0.00%, Current accuracy: 64.72%
[2024-03-04 01:24:16,317] : Round: 226, Max accuracy: 0.00%, Current accuracy: 63.50%
[2024-03-04 01:24:32,537] : Round: 227, Max accuracy: 0.00%, Current accuracy: 63.26%
[2024-03-04 01:24:44,186] : Round: 228, Max accuracy: 0.00%, Current accuracy: 58.98%
[2024-03-04 01:24:47,825] : Round: 229, Max accuracy: 0.00%, Current accuracy: 58.25%
[2024-03-04 01:25:01,779] : Round: 230, Max accuracy: 0.00%, Current accuracy: 60.47%
[2024-03-04 01:25:09,212] : Round: 231, Max accuracy: 0.00%, Current accuracy: 58.71%
[2024-03-04 01:25:34,405] : Round: 232, Max accuracy: 0.00%, Current accuracy: 61.15%
[2024-03-04 01:25:36,705] : Round: 233, Max accuracy: 0.00%, Current accuracy: 63.82%
[2024-03-04 01:25:38,682] : Round: 234, Max accuracy: 0.00%, Current accuracy: 64.18%
[2024-03-04 01:25:59,204] : Round: 235, Max accuracy: 0.00%, Current accuracy: 64.35%
[2024-03-04 01:26:02,953] : Round: 236, Max accuracy: 0.00%, Current accuracy: 68.66%
[2024-03-04 01:26:04,918] : Round: 237, Max accuracy: 0.00%, Current accuracy: 68.60%
[2024-03-04 01:26:27,745] : Round: 238, Max accuracy: 0.00%, Current accuracy: 70.65%
[2024-03-04 01:26:29,631] : Round: 239, Max accuracy: 0.00%, Current accuracy: 70.13%
[2024-03-04 01:26:31,614] : Round: 240, Max accuracy: 0.00%, Current accuracy: 69.70%
[2024-03-04 01:26:49,492] : Round: 241, Max accuracy: 0.00%, Current accuracy: 69.16%
[2024-03-04 01:26:56,026] : Round: 242, Max accuracy: 0.00%, Current accuracy: 70.11%
[2024-03-04 01:26:57,925] : Round: 243, Max accuracy: 0.00%, Current accuracy: 70.42%
[2024-03-04 01:27:11,662] : Round: 244, Max accuracy: 0.00%, Current accuracy: 73.41%
[2024-03-04 01:27:18,966] : Round: 245, Max accuracy: 0.00%, Current accuracy: 74.93%
[2024-03-04 01:27:27,548] : Round: 246, Max accuracy: 0.00%, Current accuracy: 74.84%
[2024-03-04 01:27:32,628] : Round: 247, Max accuracy: 0.00%, Current accuracy: 75.01%
[2024-03-04 01:27:52,524] : Round: 248, Max accuracy: 0.00%, Current accuracy: 72.99%
[2024-03-04 01:27:54,666] : Round: 249, Max accuracy: 0.00%, Current accuracy: 71.20%
[2024-03-04 01:28:17,231] : Round: 250, Max accuracy: 0.00%, Current accuracy: 72.29%
[2024-03-04 01:28:22,345] : Round: 251, Max accuracy: 0.00%, Current accuracy: 74.16%
[2024-03-04 01:28:27,704] : Round: 252, Max accuracy: 0.00%, Current accuracy: 71.11%
[2024-03-04 01:28:38,853] : Round: 253, Max accuracy: 0.00%, Current accuracy: 71.94%
[2024-03-04 01:28:42,173] : Round: 254, Max accuracy: 0.00%, Current accuracy: 71.55%
[2024-03-04 01:29:00,125] : Round: 255, Max accuracy: 0.00%, Current accuracy: 72.39%
[2024-03-04 01:29:06,592] : Round: 256, Max accuracy: 0.00%, Current accuracy: 72.18%
[2024-03-04 01:29:28,113] : Round: 257, Max accuracy: 0.00%, Current accuracy: 72.31%
[2024-03-04 01:29:30,091] : Round: 258, Max accuracy: 0.00%, Current accuracy: 69.16%
[2024-03-04 01:29:32,120] : Round: 259, Max accuracy: 0.00%, Current accuracy: 67.90%
[2024-03-04 01:29:51,935] : Round: 260, Max accuracy: 0.00%, Current accuracy: 65.33%
[2024-03-04 01:29:53,865] : Round: 261, Max accuracy: 0.00%, Current accuracy: 61.51%
[2024-03-04 01:29:55,810] : Round: 262, Max accuracy: 0.00%, Current accuracy: 62.38%
[2024-03-04 01:30:16,043] : Round: 263, Max accuracy: 0.00%, Current accuracy: 63.72%
[2024-03-04 01:30:23,565] : Round: 264, Max accuracy: 0.00%, Current accuracy: 66.56%
[2024-03-04 01:30:30,652] : Round: 265, Max accuracy: 0.00%, Current accuracy: 67.36%
[2024-03-04 01:30:37,773] : Round: 266, Max accuracy: 0.00%, Current accuracy: 68.46%
[2024-03-04 01:30:52,014] : Round: 267, Max accuracy: 0.00%, Current accuracy: 69.88%
[2024-03-04 01:31:09,801] : Round: 268, Max accuracy: 0.00%, Current accuracy: 70.12%
[2024-03-04 01:31:11,802] : Round: 269, Max accuracy: 0.00%, Current accuracy: 68.32%
[2024-03-04 01:31:25,045] : Round: 270, Max accuracy: 0.00%, Current accuracy: 69.38%
[2024-03-04 01:31:34,104] : Round: 271, Max accuracy: 0.00%, Current accuracy: 71.29%
[2024-03-04 01:31:44,583] : Round: 272, Max accuracy: 0.00%, Current accuracy: 68.78%
[2024-03-04 01:31:53,492] : Round: 273, Max accuracy: 0.00%, Current accuracy: 67.38%
[2024-03-04 01:31:58,602] : Round: 274, Max accuracy: 0.00%, Current accuracy: 66.49%
[2024-03-04 01:32:14,806] : Round: 275, Max accuracy: 0.00%, Current accuracy: 64.21%
[2024-03-04 01:32:16,831] : Round: 276, Max accuracy: 0.00%, Current accuracy: 59.82%
[2024-03-04 01:32:20,965] : Round: 277, Max accuracy: 0.00%, Current accuracy: 60.85%
[2024-03-04 01:32:36,228] : Round: 278, Max accuracy: 0.00%, Current accuracy: 61.64%
[2024-03-04 01:32:42,620] : Round: 279, Max accuracy: 0.00%, Current accuracy: 61.83%
[2024-03-04 01:32:44,738] : Round: 280, Max accuracy: 0.00%, Current accuracy: 62.94%
[2024-03-04 01:33:00,280] : Round: 281, Max accuracy: 0.00%, Current accuracy: 67.09%
[2024-03-04 01:33:12,792] : Round: 282, Max accuracy: 0.00%, Current accuracy: 66.69%
[2024-03-04 01:33:14,716] : Round: 283, Max accuracy: 0.00%, Current accuracy: 66.35%
[2024-03-04 01:33:45,349] : Round: 284, Max accuracy: 0.00%, Current accuracy: 68.41%
[2024-03-04 01:33:47,497] : Round: 285, Max accuracy: 0.00%, Current accuracy: 69.42%
